[17:26:24] IP:124.20.22.79 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:24] IP:175.65.179.189 | HIGH | SQL_Injection
[17:26:24] IP:101.143.244.4 | CRITICAL | Log4Shell
[17:26:24] IP:72.174.19.234 | CRITICAL | Command_Injection
[17:26:24] IP:151.245.59.80 | CRITICAL | Command_Injection
[17:26:24] IP:18.86.65.155 | MEDIUM | Brute_Force_Pattern
[17:26:24] IP:199.228.87.76 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:24] IP:181.180.137.224 | MEDIUM | Brute_Force_Pattern
[17:26:24] IP:97.170.4.105 | HIGH | SQL_Injection
[17:26:24] IP:181.78.35.249 | HIGH | SQL_Injection
[17:26:24] IP:126.177.3.49 | CRITICAL | Log4Shell
[17:26:24] IP:84.113.161.196 | HIGH | SQL_Injection
[17:26:24] IP:173.80.17.172 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:24] IP:203.163.185.177 | MEDIUM | Brute_Force_Pattern
[17:26:24] IP:130.175.193.246 | HIGH | SQL_Injection
[17:26:25] IP:118.114.68.132 | MEDIUM | Brute_Force_Pattern
[17:26:25] IP:96.22.14.200 | CRITICAL | Command_Injection
[17:26:25] IP:68.47.70.192 | HIGH | XSS_Attack
[17:26:25] IP:145.45.172.45 | HIGH | XSS_Attack
[17:26:25] IP:50.88.168.52 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:25] IP:96.78.156.243 | MEDIUM | Brute_Force_Pattern
[17:26:25] IP:174.71.159.199 | HIGH | SQL_Injection
[17:26:25] IP:14.47.111.233 | HIGH | SQL_Injection
[17:26:25] IP:71.84.20.60 | CRITICAL | Command_Injection
[17:26:25] IP:144.108.145.87 | HIGH | SQL_Injection
[17:26:25] IP:31.22.39.198 | MEDIUM | Brute_Force_Pattern
[17:26:25] IP:78.145.244.173 | CRITICAL | Command_Injection
[17:26:25] IP:143.47.107.119 | CRITICAL | Command_Injection
[17:26:25] IP:100.81.52.3 | MEDIUM | Brute_Force_Pattern
[17:26:25] IP:79.83.219.205 | CRITICAL | Log4Shell
[17:26:25] IP:96.95.68.173 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:25] IP:176.172.90.131 | CRITICAL | Command_Injection
[17:26:25] IP:112.19.4.54 | CRITICAL | Log4Shell
[17:26:25] IP:98.219.56.230 | HIGH | SQL_Injection
[17:26:25] IP:42.177.140.214 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:25] IP:84.106.30.10 | CRITICAL | Command_Injection
[17:26:25] IP:191.233.177.88 | HIGH | SQL_Injection
[17:26:25] IP:129.186.73.91 | HIGH | SQL_Injection
[17:26:25] IP:40.149.67.133 | HIGH | SQL_Injection
[17:26:25] IP:210.117.125.54 | CRITICAL | Command_Injection
[17:26:25] IP:149.39.136.155 | CRITICAL | Log4Shell
[17:26:25] IP:81.221.72.29 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:25] IP:104.201.91.87 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:25] IP:46.8.66.225 | MEDIUM | Brute_Force_Pattern
[17:26:25] IP:150.201.167.161 | HIGH | SQL_Injection
[17:26:25] IP:200.29.217.100 | HIGH | SQL_Injection
[17:26:26] IP:32.145.7.249 | HIGH | SQL_Injection
[17:26:26] IP:39.184.13.246 | CRITICAL | Command_Injection
[17:26:26] IP:65.185.10.168 | CRITICAL | Log4Shell
[17:26:26] IP:22.95.28.87 | HIGH | SQL_Injection
[17:26:26] IP:27.77.83.103 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:26] IP:73.233.218.116 | HIGH | SQL_Injection
[17:26:26] IP:119.92.65.224 | HIGH | SQL_Injection
[17:26:26] IP:25.219.33.232 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:26] IP:169.120.245.153 | CRITICAL | Command_Injection
[17:26:26] IP:18.104.242.12 | HIGH | XSS_Attack
[17:26:26] IP:91.160.189.73 | CRITICAL | Command_Injection
[17:26:26] IP:185.166.206.154 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:26] IP:169.236.85.187 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:26] IP:161.249.99.133 | HIGH | SQL_Injection
[17:26:26] IP:176.115.151.18 | MEDIUM | Brute_Force_Pattern
[17:26:26] IP:107.245.22.220 | CRITICAL | Command_Injection
[17:26:26] IP:187.49.71.208 | MEDIUM | Brute_Force_Pattern
[17:26:26] IP:34.242.96.15 | CRITICAL | Command_Injection
[17:26:26] IP:208.53.74.115 | HIGH | SQL_Injection
[17:26:26] IP:34.191.202.80 | CRITICAL | Log4Shell
[17:26:26] IP:84.50.27.56 | CRITICAL | Log4Shell
[17:26:26] IP:118.87.146.83 | CRITICAL | Command_Injection
[17:26:26] IP:161.117.110.104 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:26] IP:172.223.161.146 | HIGH | SQL_Injection
[17:26:26] IP:17.189.178.40 | HIGH | SQL_Injection
[17:26:26] IP:139.105.228.220 | MEDIUM | Brute_Force_Pattern
[17:26:26] IP:125.189.28.36 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:26] IP:166.153.56.146 | CRITICAL | Command_Injection
[17:26:26] IP:36.88.189.233 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:26] IP:49.177.137.127 | CRITICAL | Command_Injection
[17:26:26] IP:121.102.44.27 | HIGH | SQL_Injection
[17:26:26] IP:54.33.9.210 | HIGH | SQL_Injection
[17:26:26] IP:72.80.53.140 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:27] IP:122.115.84.158 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:27] IP:112.46.238.62 | HIGH | SQL_Injection
[17:26:27] IP:99.99.170.203 | HIGH | SQL_Injection
[17:26:27] IP:196.28.177.151 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:27] IP:95.101.10.9 | HIGH | XSS_Attack
[17:26:27] IP:197.202.177.245 | HIGH | SQL_Injection
[17:26:27] IP:89.116.163.163 | CRITICAL | Log4Shell
[17:26:27] IP:101.114.247.248 | CRITICAL | Command_Injection
[17:26:27] IP:101.64.237.81 | MEDIUM | Brute_Force_Pattern
[17:26:27] IP:173.36.97.247 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:27] IP:23.183.49.33 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:27] IP:199.208.155.189 | CRITICAL | Command_Injection
[17:26:27] IP:35.108.5.127 | HIGH | SQL_Injection
[17:26:27] IP:199.214.9.122 | CRITICAL | Command_Injection
[17:26:27] IP:205.92.177.2 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:27] IP:34.187.189.247 | HIGH | SQL_Injection
[17:26:27] IP:134.84.67.201 | HIGH | XSS_Attack
[17:26:27] IP:108.49.211.98 | HIGH | SQL_Injection
[17:26:27] IP:152.220.8.241 | HIGH | SQL_Injection
[17:26:27] IP:118.76.95.189 | HIGH | XSS_Attack
[17:26:27] IP:209.84.175.62 | CRITICAL | Command_Injection
[17:26:27] IP:162.110.96.16 | CRITICAL | Command_Injection
[17:26:27] IP:48.38.185.100 | CRITICAL | Command_Injection
[17:26:27] IP:15.128.49.166 | HIGH | SQL_Injection
[17:26:27] IP:100.236.112.125 | MEDIUM | Brute_Force_Pattern
[17:26:27] IP:220.250.226.196 | CRITICAL | Command_Injection
[17:26:27] IP:91.196.202.92 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:27] IP:216.139.225.150 | CRITICAL | Log4Shell
[17:26:27] IP:105.200.163.149 | CRITICAL | Command_Injection
[17:26:27] IP:141.130.127.17 | HIGH | SQL_Injection
[17:26:27] IP:44.213.25.19 | HIGH | SQL_Injection
[17:26:27] IP:20.134.174.80 | CRITICAL | Command_Injection
[17:26:27] IP:208.192.13.249 | MEDIUM | Brute_Force_Pattern
[17:26:28] IP:98.85.151.112 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:28] IP:180.189.166.224 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:28] IP:166.49.40.246 | CRITICAL | Log4Shell
[17:26:28] IP:77.76.17.238 | HIGH | SQL_Injection
[17:26:28] IP:107.63.242.53 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:28] IP:159.11.80.59 | MEDIUM | Brute_Force_Pattern
[17:26:28] IP:127.35.246.152 | HIGH | SQL_Injection
[17:26:28] IP:21.45.27.41 | CRITICAL | Command_Injection
[17:26:28] IP:87.213.230.112 | MEDIUM | Brute_Force_Pattern
[17:26:28] IP:95.217.202.35 | CRITICAL | Log4Shell
[17:26:28] IP:172.122.126.169 | HIGH | SQL_Injection
[17:26:28] IP:153.128.119.164 | CRITICAL | Command_Injection
[17:26:28] IP:151.115.116.20 | HIGH | XSS_Attack
[17:26:28] IP:105.123.127.195 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:28] IP:200.121.101.100 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:28] IP:109.69.210.150 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:28] IP:150.27.184.141 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:28] IP:19.1.105.240 | MEDIUM | Brute_Force_Pattern
[17:26:28] IP:140.208.79.221 | HIGH | SQL_Injection
[17:26:28] IP:176.244.80.16 | CRITICAL | Log4Shell
[17:26:28] IP:11.170.122.63 | CRITICAL | Log4Shell
[17:26:28] IP:22.177.242.7 | CRITICAL | Log4Shell
[17:26:28] IP:162.232.88.20 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:28] IP:98.30.247.85 | HIGH | XSS_Attack
[17:26:28] IP:80.216.142.204 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:28] IP:78.60.161.128 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:28] IP:28.12.237.175 | MEDIUM | Brute_Force_Pattern
[17:26:28] IP:183.213.158.242 | CRITICAL | Command_Injection
[17:26:28] IP:216.72.248.230 | HIGH | SQL_Injection
[17:26:28] IP:108.242.250.179 | HIGH | SQL_Injection
[17:26:29] IP:57.137.117.225 | CRITICAL | Command_Injection
[17:26:29] IP:134.181.203.187 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:169.151.206.139 | HIGH | SQL_Injection
[17:26:29] IP:213.164.44.6 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:175.231.153.180 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:197.126.231.214 | CRITICAL | Command_Injection
[17:26:29] IP:124.211.141.155 | HIGH | SQL_Injection
[17:26:29] IP:189.15.183.141 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:39.67.61.54 | MEDIUM | Brute_Force_Pattern
[17:26:29] IP:66.232.187.177 | HIGH | SQL_Injection
[17:26:29] IP:193.220.232.109 | CRITICAL | Command_Injection
[17:26:29] IP:26.183.164.101 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:29] IP:162.184.87.186 | CRITICAL | Command_Injection
[17:26:29] IP:110.219.30.205 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:72.144.246.42 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:123.104.163.208 | MEDIUM | Brute_Force_Pattern
[17:26:29] IP:76.231.54.61 | HIGH | SQL_Injection
[17:26:29] IP:137.188.132.101 | HIGH | XSS_Attack
[17:26:29] IP:213.176.67.223 | MEDIUM | Brute_Force_Pattern
[17:26:29] IP:203.199.134.26 | MEDIUM | Brute_Force_Pattern
[17:26:29] IP:20.95.16.114 | MEDIUM | Brute_Force_Pattern
[17:26:29] IP:75.63.17.233 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:29] IP:15.178.47.32 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:202.65.63.185 | CRITICAL | Command_Injection
[17:26:29] IP:58.209.193.118 | CRITICAL | Log4Shell
[17:26:29] IP:209.28.48.93 | HIGH | SQL_Injection
[17:26:29] IP:142.85.57.203 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:192.217.136.153 | CRITICAL | Log4Shell
[17:26:29] IP:50.215.18.224 | MEDIUM | Brute_Force_Pattern
[17:26:29] IP:44.171.30.167 | HIGH | SQL_Injection
[17:26:29] IP:159.67.215.230 | HIGH | XSS_Attack
